keyword,2021,2022,2023,2024
$\alpha$-condition,0.0,0.0,0.0,1.0
$\ell_0$ constraint,0.0,0.0,0.0,1.0
$\ell_1$-hyperbolicity,0.0,0.0,1.0,0.0
$\ell_\infty$-regularization,0.0,0.0,0.0,1.0
$\ell_p$ sensitivities,0.0,0.0,1.0,0.0
$\ell_p$-norm,0.0,0.0,0.0,1.0
$\epsilon$-greedy exploration,0.0,1.0,0.0,0.0
$\phi$-equilibrium,0.0,0.0,0.0,1.0
$\phi$-regret minimization,0.0,0.0,0.0,1.0
$c\mu$ rule,1.0,0.0,0.0,0.0
$f$-dp,0.0,0.0,1.0,0.0
$k$-center clustering,0.0,0.0,1.0,0.0
$k$-center with outliers,0.0,0.0,0.0,1.0
$q$-exponential distribution,0.0,0.0,1.0,0.0
$se-3$ equivariance,0.0,0.0,0.0,1.0
-equivariant neural network,0.0,0.0,1.0,0.0
1-bit compessed sensing,2.0,0.0,0.0,0.0
1-bit optimizer,0.0,0.0,1.0,0.0
1-bit training,0.0,0.0,0.0,1.0
1-cluster vlad,0.0,0.0,0.0,1.0
1-lipschitz neural network,0.0,0.0,1.0,0.0
10^9 points,0.0,1.0,0.0,0.0
2-alternating capacities,1.0,0.0,0.0,0.0
2:4 sparsity,0.0,0.0,0.0,1.0
2d,0.0,0.0,1.0,0.0
2d detection,0.0,0.0,0.0,1.0
2d foundation model,0.0,0.0,0.0,1.0
2d graphics,1.0,0.0,0.0,0.0
2d images,0.0,0.0,1.0,0.0
2d pose estimation,0.0,0.0,0.0,1.0
2d projection,0.0,0.0,0.0,1.0
2d-3d registration,0.0,0.0,1.0,0.0
2d-to-3d lifting,0.0,0.0,1.0,0.0
2sls,0.0,0.0,0.0,1.0
3-d molecule generation,0.0,0.0,0.0,1.0
3.7x speedup,0.0,0.0,0.0,1.0
360 video,0.0,0.0,0.0,1.0
360-degree image,0.0,0.0,1.0,0.0
3d,5.0,3.0,5.0,6.0
3d adversarial examples,0.0,1.0,0.0,0.0
3d aigc,0.0,0.0,0.0,1.0
3d animal generation,0.0,0.0,0.0,1.0
3d animal pose and shape estimation,1.0,0.0,0.0,0.0
3d anomaly detection,0.0,0.0,0.0,1.0
3d articulated objects,0.0,0.0,1.0,1.0
3d articulated shape,0.0,0.0,1.0,0.0
3d avatars,0.0,0.0,1.0,0.0
3d awareness,0.0,0.0,0.0,1.0
3d bounding boxes,0.0,1.0,0.0,0.0
3d computer vision,1.0,3.0,3.0,2.0
3d content creation,2.0,1.0,1.0,1.0
3d content generation,0.0,0.0,0.0,1.0
3d convolution,2.0,0.0,0.0,1.0
3d copy-paste,0.0,0.0,1.0,0.0
3d dance generation,0.0,1.0,0.0,0.0
3d decomposition,0.0,0.0,1.0,0.0
3d deep learning,4.0,1.0,2.0,0.0
3d dense correspondence,1.0,0.0,0.0,0.0
3d detection,1.0,2.0,2.0,3.0
