,venue,year,keyword,count,rank,rgb_color,hex_color
0,NeurIPS.cc/2021/Conference,2021,Reinforcement Learning,207,50,"[113, 15, 113]",710F71
1,NeurIPS.cc/2021/Conference,2021,Deep Learning,147,49,"[113, 15, 113]",710F71
2,NeurIPS.cc/2021/Conference,2021,Transformer,96,48,"[113, 15, 113]",710F71
3,NeurIPS.cc/2021/Conference,2021,Graph Neural Network,90,47,"[113, 15, 113]",710F71
4,NeurIPS.cc/2021/Conference,2021,Representation Learning,64,46,"[113, 15, 113]",710F71
5,NeurIPS.cc/2021/Conference,2021,Self-Supervised Learning,62,45,"[113, 15, 113]",710F71
6,NeurIPS.cc/2021/Conference,2021,Generalization,60,44,"[113, 15, 113]",710F71
7,NeurIPS.cc/2021/Conference,2021,Neural Network,59,43,"[113, 15, 113]",710F71
8,NeurIPS.cc/2021/Conference,2021,Generative Model,57,42,"[113, 15, 113]",710F71
9,NeurIPS.cc/2021/Conference,2021,Meta-Learning,57,42,"[113, 15, 113]",710F71
10,NeurIPS.cc/2021/Conference,2021,Online Learning,54,41,"[113, 15, 113]",710F71
11,NeurIPS.cc/2021/Conference,2021,Robustness,53,40,"[113, 15, 113]",710F71
12,NeurIPS.cc/2021/Conference,2021,Differential Privacy,51,39,"[113, 15, 113]",710F71
13,NeurIPS.cc/2021/Conference,2021,Adversarial Robustness,46,38,"[113, 15, 113]",710F71
14,NeurIPS.cc/2021/Conference,2021,Computer Vision,45,37,"[113, 15, 113]",710F71
15,NeurIPS.cc/2021/Conference,2021,Optimization,45,37,"[113, 15, 113]",710F71
16,NeurIPS.cc/2021/Conference,2021,Transfer Learning,42,36,"[113, 15, 113]",710F71
17,NeurIPS.cc/2021/Conference,2021,Federated Learning,41,35,"[113, 15, 113]",710F71
18,NeurIPS.cc/2021/Conference,2021,Contrastive Learning,40,34,"[113, 15, 113]",710F71
19,NeurIPS.cc/2021/Conference,2021,Fairness,40,34,"[113, 15, 113]",710F71
20,NeurIPS.cc/2021/Conference,2021,Convex Optimization,38,33,"[113, 15, 113]",710F71
21,NeurIPS.cc/2021/Conference,2021,Variational Inference,38,33,"[113, 15, 113]",710F71
22,NeurIPS.cc/2021/Conference,2021,Causal Inference,37,32,"[113, 15, 113]",710F71
23,NeurIPS.cc/2021/Conference,2021,Learning Theory,37,32,"[113, 15, 113]",710F71
24,NeurIPS.cc/2021/Conference,2021,Gaussian Processes,34,31,"[113, 15, 113]",710F71
25,NeurIPS.cc/2021/Conference,2021,Machine Learning,34,31,"[113, 15, 113]",710F71
26,NeurIPS.cc/2021/Conference,2021,Deep Reinforcement Learning,32,30,"[113, 15, 113]",710F71
27,NeurIPS.cc/2021/Conference,2021,Interpretability,32,30,"[113, 15, 113]",710F71
28,NeurIPS.cc/2021/Conference,2021,Unsupervised Learning,32,30,"[113, 15, 113]",710F71
29,NeurIPS.cc/2021/Conference,2021,Few-Shot Learning,29,29,"[113, 15, 113]",710F71
30,NeurIPS.cc/2021/Conference,2021,Statistical Learning Theory,29,29,"[113, 15, 113]",710F71
31,NeurIPS.cc/2021/Conference,2021,Vision Transformer,29,29,"[113, 15, 113]",710F71
32,NeurIPS.cc/2021/Conference,2021,Exploration,28,28,"[113, 15, 113]",710F71
33,NeurIPS.cc/2021/Conference,2021,Domain Adaptation,27,27,"[113, 15, 113]",710F71
34,NeurIPS.cc/2021/Conference,2021,Natural Language Processing,26,26,"[113, 15, 113]",710F71
35,NeurIPS.cc/2021/Conference,2021,Sparsity,26,26,"[113, 15, 113]",710F71
36,NeurIPS.cc/2021/Conference,2021,Active Learning,25,25,"[113, 15, 113]",710F71
37,NeurIPS.cc/2021/Conference,2021,Attention,25,25,"[113, 15, 113]",710F71
38,NeurIPS.cc/2021/Conference,2021,Continual Learning,25,25,"[113, 15, 113]",710F71
39,NeurIPS.cc/2021/Conference,2021,Neuroscience,25,25,"[113, 15, 113]",710F71
40,NeurIPS.cc/2021/Conference,2021,Calibration,24,24,"[113, 15, 113]",710F71
41,NeurIPS.cc/2021/Conference,2021,Generative Adversarial Network,24,24,"[113, 15, 113]",710F71
42,NeurIPS.cc/2021/Conference,2021,Stochastic Optimization,24,24,"[113, 15, 113]",710F71
43,NeurIPS.cc/2021/Conference,2021,Theory,24,24,"[113, 15, 113]",710F71
